Test Case ID,Historia de Usuario,Caso de prueba,Resultado Esperado,Status,Fecha de Ejecución,Encargado,Iteración,Evidencia,Comentario
9,Modificar información del paciente,El usuario envía el formulario pero no hay conexión a internet,Regresa un error de conexión y no se realizan cambios,Aprobado,"June 8, 2022",Michelle Aylin Calzada Montes,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
10,Modificar información del paciente,El usuario pica el botón de regresar,Regresa a la vista anterior,Aprobado,"June 8, 2022",Michelle Aylin Calzada Montes,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
1,Registrar resumen de consulta,"El usuario se autentica con el rol de doctor, nutriólogo y psicólogo da click en el detalle de un paciente y da click en el botón de Registrar nueva nota",Se muestra la ventana de registrar resumen de consulta,,"June 8, 2022",Manolo Ramírez Pintor,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
2,Registrar resumen de consulta,El usuario se autenica con otro rol,No muestra el botón de Registrar nueva nota,,"June 8, 2022",Manolo Ramírez Pintor,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
3,Registrar resumen de consulta,"El usuario se autentica con el rol de doctor, psicólogo y nutriólogo, da click en el detalle de un paciente, da click en el botón de Registrar nueva nota, escribe el resumen de consulta y pican el botón Guardar",El resumen se guarda exitosamente y muestra un mensaje de que se guardo exitosamente,Aprobado,"June 8, 2022",Manolo Ramírez Pintor,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
4,Registrar resumen de consulta,"El usuario se autentica con el rol de doctor, psicólogo y nutriólogo, da click en el detalle de un paciente, da click en el botón de Registrar nueva nota, no escribe algo y pican el botón Guardar",Muestra un mensaje de que el campo está vacío,Aprobado,"June 8, 2022",Manolo Ramírez Pintor,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
5,Registrar resumen de consulta,"El usuario se autentica con el rol de doctor, psicólogo y nutriólogo, da click en el detalle de un paciente, da click en el botón de Registrar nueva nota y aprieta el botón de regresar",Regresa a la vista anterior,Aprobado,"June 8, 2022",Manolo Ramírez Pintor,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
6,Registrar resumen de consulta,"Usuario intenta acceder a la ruta con rol diferente al de doctor, psicólogo o nutriólogo",Se muestra mensaje de error que no cuenta con autorizacion para acceder a ruta,Aprobado,"June 8, 2022",Manolo Ramírez Pintor,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
7,Registrar resumen de consulta,"El usuario se autentica con el rol de doctor, psicólogo y nutriólogo, da click en el detalle de un paciente, da click en el botón de Registrar nueva nota, escribe el resumen de consulta y pican el botón Guardar, pero ocurre un error al guardar",Muestra un mensaje de error,Aprobado,"June 8, 2022",Manolo Ramírez Pintor,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
8,Registrar resumen de consulta,"El usuario se autentica con el rol de doctor, nutriólogo y psicólogo, da click en el botón para registrar nueva nota y deja vacío el campo.",Se muestra un cuadro de error en la parte inferior del campo y el botón de guardar esta deshabilitado,Aprobado,"June 8, 2022",Manolo Ramírez Pintor,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit,
1,Registrar un nuevo tipo de estudio,"El usuario se autentica con el rol de químico, da click en registrar nuevo tipo de estudio",Se muestra la vista de registrar nuevo tipo de estudio,Aprobado,"June 8, 2022",Andrea Piñeiro,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit?usp=sharing,
2,Registrar un nuevo tipo de estudio,"El usuario se autentica con el rol de químico, da click en registrar nuevo tipo de estudio y llena los datos correctamente y da click en 'Guardar’","Se muestra mensaje de éxito, se guarda correctamente y se muestra el nuevo tipo de estudio",Aprobado,"June 8, 2022",Andrea Piñeiro,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit?usp=sharing,
3,Registrar un nuevo tipo de estudio,"El usuario se autentica con el rol de químico, da click en el botón para registrar nuevo tipo de estudio y llena la información correctamente pero ocurre un error al guardar",Se muestra un mensaje de error con retroalimentación que indique el error al guardar,Aprobado,"June 8, 2022",Andrea Piñeiro,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit?usp=sharing,
4,Registrar un nuevo tipo de estudio,"El usuario se autentica con el rol de químico, da click en el botón para registrar nuevo tipo de estudio y deja vacíos algunos datos requeridos",Se muestra un cuadro de error en la parte inferior del campo,Aprobado,"June 8, 2022",Andrea Piñeiro,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit?usp=sharing,
5,Registrar un nuevo tipo de estudio,"El usuario se autentica con el rol de químico, da click en el botón para registrar nuevo tipo de estudio e ingresa el campo de 'Nombre´ con números",Se muestra un cuadro de error en la parte inferior del campo y el botón de guardar esta deshabilitado,Aprobado,"June 8, 2022",Andrea Piñeiro,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit?usp=sharing,
6,Registrar un nuevo tipo de estudio,El usuario se autentica con cualquier otro rol,No se muestran el botón para registrar el nuevo tipo de estudio,Aprobado,"June 8, 2022",Andrea Piñeiro,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit?usp=sharing,
7,Registrar un nuevo tipo de estudio,Usuario intenta acceder a la ruta con rol diferente al de químico,Se muestra mensaje de error que no cuenta con autorizacion para acceder a ruta,Aprobado,"June 8, 2022",Andrea Piñeiro,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit?usp=sharing,
8,Registrar un nuevo tipo de estudio,El usuario da click en el botón de regresar,Se regresa a la vista anterior,Aprobado,"June 8, 2022",Andrea Piñeiro,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit?usp=sharing,
9,Registrar un nuevo tipo de estudio,El usuario de click en añadir parametro pero no hay parametros en la base de datos,Se muesta un texto en el select indicando que no hay parametros registrados,Aprobado,"June 8, 2022",Andrea Piñeiro,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit?usp=sharing,
10,Registrar un nuevo tipo de estudio,El usuario de click en añadir parametro pero no ha seleccionado un parametro,No se crea un nuevo select de parametro,No reproducible,"June 8, 2022",Andrea Piñeiro,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit?usp=sharing,
11,Registrar un nuevo tipo de estudio,En caso de que alguno de los paramertos se quede con la opcion por defult y el usuario da click en guardar,No se registra el parametro vacio en el tipo de estudio,Aprobado,"June 8, 2022",Andrea Piñeiro,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit?usp=sharing,
12,Registrar un nuevo tipo de estudio,El usuario hace click multiples veces en guardar,No se toma en cuenta mas que el primer click,Aprobado,"June 8, 2022",Andrea Piñeiro,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit?usp=sharing,
13,Registrar un nuevo tipo de estudio,El usuario intenta seleccionar multiples veces el mismo parametro,No se muestra en el select una opción previamente escogida,Aprobado,"June 8, 2022",Andrea Piñeiro,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit?usp=sharing,
1,Eliminar información del personal,El usuario se autentica con el rol de Administrador da click en el detalle de un empleado.,Se muestra el botón de eliminar empleado en la vista de Detalle del estudio del empleado,Aprobado,"June 9, 2022",Manolo Ramírez Pintor,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit?usp=sharing,
2,Eliminar información del personal,El usuario se autentica con otro rol,No tiene acceso a esta funcionalidad,Aprobado,"June 9, 2022",Manolo Ramírez Pintor,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit?usp=sharing,
3,Eliminar información del personal,El usuario da click al boton de Eliminar empleado,Se muestra mensaje de operación realizada y se redirige a la pantalla principal del usuario.,Aprobado,"June 9, 2022",Manolo Ramírez Pintor,IT4,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit?usp=sharing,
